comentario_p1,previsao,probabilidade_de_acerto
"muita demora na espera da ambulancia, eu chegando no hospital de niteroi foquei numa cadeira cheio de dor e febre de 40 graus",QUEIXA,98.11%
ma vontade no atendimento,QUEIXA,93.43%
"no dia, estava marcado pra me internar a meia noite, cheguei no hospital, eram 23 00 horas, fiquei esperando dar o horario e quando deu o horario,a enfermeira foi comer, fiquei esperando,e nada dela aparecer, levantei e fui na recepcao falar com o rapaz que ja era quase uma hora da manha,que eu precisava ir para o quarto,ele foi atras de alguem,mas nao consegui,ele mesmo me levou para o quarto",QUEIXA,98.26%
eu li errado . foi satisfatorio,OUTROS,62.67%
os totens estavam com defeito e so tinha 1 pra usar,QUEIXA,97.5%
porta principal fechado,OUTROS,52.69%
boa tarde,OUTROS,59.69%
respondi errado,ELOGIO,91.6%
"completa omissao de vcs durante toda a minha recuperacao, demoraram 2 meses para me entregarem um encaminhamento para o retorno com a equipe cirurgica",QUEIXA,94.83%
"cheguei na emergencia com minha sobrinha especial q precisa de uma maca por ser acamada,tem muita burocracia pra ter um pronto atendimento demora muito, se um caso serio teria problemas,",QUEIXA,98.23%
errei,OUTROS,85.24%
desculpa foi errado foi satisfeito,ELOGIO,99.77%
atendimento e rapido e pratico,ELOGIO,99.1%
"minha cirurgia foi cancelada, comigo ja dentro do centro cirurgico",QUEIXA,96.65%
falta de atencao e informacao,QUEIXA,97.71%
nao tinha ninguem na recepcao na hora foram todos tomar cafe ai mesmo tempo,QUEIXA,97.57%
hospital lotado e caotico,QUEIXA,90.9%
nao e insatisfacao. mas o hospital nao comporta mais a demanda. as pessoas da recepcao foram excelentes.,QUEIXA,97.14%
desculpe resposta errada,OUTROS,77.79%
otimo atendimento,ELOGIO,99.9%
"errei a resposta, seria o numero 5",OUTROS,78.15%
"administracao, demora para liberacao da cirurgia. cheguei as 08 00 da manha, a cirurgia estava agendada para 13 00",QUEIXA,98.0%
20250930043127wamid.hbgnntuymtk2nde0mzg1mbucabiyiefdqty4otewnujenduwnujgrki4mdcxq0femdvbnjc2aa .webp,OUTROS,85.24%
nao fiz cirurgia alguma nesse hospital. nem pisei nesse hospital.,QUEIXA,92.97%
acho que o acolhimento deve ser mais rapido e menos burocratico.,OUTROS,78.71%
"perdao, numero 5",OUTROS,85.24%
"digo, 4",OUTROS,85.24%
"nao fomos adequadamente orientados, nao fomos auxiliados por maqueiro, nos mandaram a diversos lugares diferentes e as atendentes foram extremamente grosseiras comigo e com a minha mae que tem 71 anos e estava com o femur quebrado. ja fiz uma representacao por maus tratos a idosos junto ao ministerio publico.",QUEIXA,96.43%
nao ha pessoas suficientes,QUEIXA,93.77%
"somos da hapvida , e nosso objetivo e avaliar a sua satisfacao para constante aprimoramento. gostariamos de realizar uma pesquisa sobre a satisfacao com relacao a cirurgia de luzia ferreira da silva, realizada em hospital ilha do leite onde foi realizado o procedimento internacao clinica geral e clinica medica no dia agosto de 2025.",QUEIXA,94.93%
um pouco demorado o atendimento,QUEIXA,97.43%
"quando cheguei nao tinha nem uma recepcionista na recepcao da internacao, demorou mais de 1 hora para aparecer alguem ! em quanto isso procurei me informar na recepcao da urgencia sobre quem iria me atender e so falavam que eu aguardasse que iria aparecer alguem la a cirurgia tinha sido agendada as 10 00 fui conseguir me internar era 12 00h",QUEIXA,98.25%
o porteiro nunca esta na portaria e o hospital tem poucos maqueiros a digital do paciente nao pega,QUEIXA,90.92%
"desculpe,, informei errado,, o correto e 5.. muito satisfeito",ELOGIO,99.65%
corrigindo 5,OUTROS,85.24%
nao saiu a fita,OUTROS,82.44%
so gostaria de indo para um quarto depos que voltei d cirurgia eles me levarao pra uma enfermeira com una cortina que divida as camas so que era um barulho so,QUEIXA,98.21%
a medica queria que eu ficasse mais algus dias no hospital so que eu achei melhor vir para casa por causa do barulho so dormir uma noite no hospital,QUEIXA,97.87%
tirando isso foi tudo satisfeito . muito obrigada por tudo .,OUTROS,84.46%
"quando as pessoas responsaveis por me transferir para o leito, houve uma pessima qualidade na prestacao de servico a qual ja relatei no reclame aqui e ja fechei o caso, logo nao vou me alongar por aqui. na duvida procure a diretora da hapvida joao pessoa. voces informaram que havia uma demanda para gestantes. engracado que quando eu fiquei internado, nao tinha leito para mim pois so havia leitos para mulheres. sem contar que me colocaram em iuma quarto com paciente sujo semanas de internacao e eu vindo da sala de cirurgia limpo, sem nenhum germe ou bacteria hospitalar tecnicamente . e sim haviam leitos disponivels inclusive disponibilizei videos a respeito",QUEIXA,98.19%
"nao fica ninguem para orientar na questao do totem . sobre a chegada do hospital, fomos direto do atendimento pediatrico que fica do outro lado da avenida",QUEIXA,96.77%
demora no atendimento,QUEIXA,97.91%
muita demora no atendimento plantao muito baguncado desorganizado,QUEIXA,96.29%
coloquei errado,ELOGIO,90.9%
falta de cadeira de rodas,QUEIXA,97.92%
demora muito pra fazer uma ficha . chegamos 2 hrs antes da cirurgia pra ficar esperando pra fazer ficha .depois mais um tempo pra ser chamado,QUEIXA,98.27%
demora do atendimento,QUEIXA,97.61%
chega ao hospital as 3 30 da manha. e a recepcionista esqueceu de fazer minha fixa fui o ultimo e porque eu fui reclamar,QUEIXA,96.93%
muitos pacientes e apenas um totem funcionando,QUEIXA,96.67%
desculpa errei 5,ELOGIO,97.65%
muito demorado,QUEIXA,95.27%
atendimento na recepcao pessimo,QUEIXA,97.09%
"o agendamento foi rapido, mas a aprovacao levou um tempo bem maior que esperavamos",OUTROS,55.04%
"quando cheguei no hospital, o hospital e o medico nao sabiam da minha cirurgia naquele dia. a hapvida marcou a cirurgia, e nao agendou com o hospital e medico.",QUEIXA,97.88%
dificuldade em ter liberacao da cirurgia,QUEIXA,97.13%
errei foi 5,OUTROS,81.6%
desculpe. coloquei o numero errado. o correto e 5,ELOGIO,98.21%
o hospital nao tem uma triagem,QUEIXA,97.54%
ops errei,OUTROS,85.24%
errei ae na avaliacao e o 5,OUTROS,80.0%
perdao,OUTROS,85.24%
"ao chegar nao havia recepcionista e nem o medico obstetra de plantao, fiquei aguardando alguem aparecer por uns 15 a 20 minutos. como nao apareceu ninguem pedir ao recepcionista do bloco pediatrico que chamasse alguem para me atender. depois apareceu uma recepcionista saindo de uma sala",QUEIXA,97.64%
porque nao foi feito nem uma cirurgia,QUEIXA,97.9%
os medicos,OUTROS,76.75%
muito tempo de espera na recepcao e falta de maqueiro no dia da minha saida.,QUEIXA,98.14%
to satisfeita,ELOGIO,96.27%
fui super bem tratada com bastante educacao e carinho,ELOGIO,93.72%
professornalismo,OUTROS,85.24%
"hospital cheio, elevador quebrado, demora no atendimento.",QUEIXA,95.88%
"as recepcionistas estao sempre de caras feias , emburradas",QUEIXA,93.43%
"desculpe foi errado, eu amei o atendimento, o melhor atendimento que minha filha ja teve .",OUTROS,85.96%
"muita demora para ser atendido, sendo que o guiche de atendimento estava vazio por um periodo muito longo",QUEIXA,98.06%
cancelar o plano de saude por falecimento,QUEIXA,95.08%
digitei a opcao errada... desculpe e a opcao 5 muito satisfeito,ELOGIO,97.95%
demora no atendimento falta de atencao ao paciente,QUEIXA,98.03%
"pessima, sem vaga pra nada uma senhora de 88 anos com falta de ar , arritmia cardiaca ficar no corredor, e o medico queria colocar ela numa cadeira de roda e passar no ps senior, um absurdo, ficou internada, remedios tudo errado, e enfermeira nao todas, muito mal criada, so sabia falar toda hora que era paliativa ficou no 12 andar quarto 1211,tivemos muito problemas, deveria rever essa atitude com pessoas idosas, e doente, ela veio a falecer, no final foi praticamente deixada ate os remedios dela de uso continua retiraram",QUEIXA,97.93%
desculpa digitei errado,ELOGIO,99.55%
"porteira grossa, se quer respondeu o nosso boa tarde",OUTROS,53.92%
"ok. eu e minha mae fomos muito mal atendida. houve uma demora enorme em leva la a uti. isso impediu de realizar a dialise, que ela precisava fazer. tambem houve um remedio aplicado via veia, que estourou na mao dela. a mao ficou roxa quase preta e inchada como uma bola. isso nao foi cuidado. ela veio a falecer.",QUEIXA,97.78%
"nao houve apoio ao uso do totem, o porteiro nao emitiu uma palavra e a recepcionista se eu nao fosse ate ela estaria sentada esperando ate hoje la",QUEIXA,97.67%
"coloquei o numero errado. esse e 1 meu filho e autista, foi o ultimo a fazer a ficha de todas as criancas que estavam la, ele chegou la as 6 00 da manha, estava de jejum des das 20 00 do dia anterior, eu precisei reclamar com uma funcionaria que trabalha em uma sala ao lado da recepcao pois ele estava tendo crise, deitando do chao toda hora, ai que levaram ele para o preparo da cirurgia isso ja era quase 10 00 da manha. uma tremenda falta de respeito com uma crianca ainda mais atipica, e foi avisado assim que chegamos que ele tem autismo, e nao se importaram nao deram prioridade nenhuma.",QUEIXA,98.21%
desculpa respondi errado e numero 5.,ELOGIO,99.55%
nao tenho interesse,OUTROS,82.79%
desculpa coloquei errado e 4,ELOGIO,99.44%
estacionamento pequeno,OUTROS,64.48%
erro resposta e 5,OUTROS,67.93%
o tempo de espera para entrar na sala de cirurgia,QUEIXA,98.21%
lotacao,OUTROS,85.24%
errei,OUTROS,85.24%
"a recepcao deve ser igual ao do hospital do salvalus, centralizado na recepcao, com registro de quem entra e sai, com papel ou deixando para a seguranca fazer nao e profissional.",QUEIXA,96.53%
"acabaram com a vida do meu pai no hospital, descaso total",QUEIXA,95.43%
desculpe 5,ELOGIO,91.67%
teve informacoes erradas,QUEIXA,95.92%
"desculpe, digitei errado. 5",ELOGIO,98.88%
profissionais sao sem simpatia e sem nenhuma vontade de mostrarem prestatividade.,QUEIXA,94.38%
desculpa,ELOGIO,97.65%
digite errado,ELOGIO,91.6%
voltar,OUTROS,52.02%
nao teve suporte para usar o totem,QUEIXA,97.32%
muito tempo de espera para o atendimento,QUEIXA,97.94%
engano e 4,OUTROS,85.24%
"atendimento ruim, descaso com idoso",OUTROS,79.81%
muita demora fiquei o dia inteiro e nao fui operado mandarao chegar as 8 da manha fui atendido as 20 horas fiquei o dia inteiro com fome,QUEIXA,97.35%
demora,QUEIXA,98.06%
espera de 45 minutos para atendimento na recepcao,QUEIXA,97.76%
estou na unidade desde 7 53h sentado em uma cadeira dura esperando fazer um exame que foi pedido desde 11 00h estou precisando de alimentacao pois sou diabetico e nada preciso de um leito pois tenho insuficiencia cardiaca e nao estou tendo atendimento correto,QUEIXA,96.15%
nao tenho interesse,OUTROS,82.79%
"no dia do meu parto que cheguei na parte da manha na maternidade para consulta de acompanhamento, o recepcionista do sexo masculino nao colocou no sistema o meu retorno para mostrar os exames. eu fiquei por mais de 2 horas aguardando ser chamada novamente, sendo que a sala de espera estava relativamente vazia. e durante minhas consultas isso aconteceu mais duas vezes anteriormente com o mesmo funcionario. e necessario mais atencao nesta parte.",QUEIXA,98.13%
nao tive esses atendimentos foi muito estressante minha entrada para o centro cirurgico demorou demais fiquei em uma salinha das 7hs ate ao meio dia nao veio ninguem pra falar comigo eu que fiquei procurando saber que horas iam fazer minha cirurgia nao tinha enfermaria pra que eu ficasse com meu acompanhante o que eu achei um absurdo o acompanhante ficar no corredor fica minha indignacao hapvida so quer vender plano e nao se preocupa com acomodacao para internacao absurdo e marcacao de consultas tbm outro problema precisei de psiquiatra e nao dao laudos so particular absurdo,QUEIXA,98.24%
atencao com o paciente,QUEIXA,94.38%
"agora nao lembro o nome dos funcionarios, mas o rapaz da frente mandou eu entrar sem ter me registrado, depois de muita espera, minha esposa falou com a enfermeira chefe que agilizou tudo, muito querida ! no dia do procedimento a recepcionista da sala de cirurgia foi grossa com minha esposa, todos os que aguardavam na sala puderam observar, inclusive foi grossa com outras pessoas! minha esposa desceu e falou com a assistente social e com uma outra moca que nao sei relatar o nome que falaram que iam tomar providencias! a tal recepcionista foi tao grossa que tirou minha esposa do serio, ela nervosa falou que pagava o salario dela, e a recepcionista mandou minha esposa enfiar o valor no c...,nao vou escrever o palavrao aqui! mas ficamos muitos descontentes com o atendimento da recepcionista nesta data! procurei o atendimento por doenca nao para ser criticado ou ouvir barbaridades de uma recepcionista que nao deveria nem ter saido de casa !",QUEIXA,97.72%
no totem nao tem atendimento prioritario,QUEIXA,97.88%
coloquei errado,ELOGIO,90.9%
muito satisfeito. parabens,ELOGIO,99.1%
"foi errado, desculpe. seria 5",ELOGIO,96.37%
desculpa kkkkk,ELOGIO,97.65%
demora no atendimento e chamada,QUEIXA,96.26%
estou satisfeito,ELOGIO,90.14%
"cheguei em estado grave vinda de ambulancia de lauro de freitas, c uma bolsa de antibiotico na mao q deveria ter sido logo colocada em mim e so o fizeram muitas horas depois, fui colocada numa sala pequenissima c muitas pessoas e sem possibilidade de acompanhamento da minha filha, sendo eu uma idosa. situacao de chegada, muito cruel.",QUEIXA,97.71%
"o descontrole desenfreado das demandas, que devido a escasse de profissionais atendendo",QUEIXA,93.46%
no dia da minha cirurgia fui mal atendida.,QUEIXA,97.75%
chegada ao hospital 4 satisfeito apoio ao uso do totem 4 satisfeito porteiro 5 muito satisfeito recepcionista 4 satisfeito e maqueiro 4 satisfeito,OUTROS,85.09%
"nao necessariamente com toda a equipe, mas alguns pontos, mas principalmente na recepcao.",OUTROS,88.3%
o codigo de barras nao funciona na maioria das vezes tem que chamar funcionario pra liberar a entrada,QUEIXA,97.92%
"quando chegamos com minha avo, mesmo ela estando com muita dor, e com leitos disponiveis, nos informaram que nao haviam leitos no case, e foi preciso falar com a enfermeira superior para atendimento e as atendentes nos trataram de uma forma um pouco indelicada.",QUEIXA,97.93%
"nao possuem medicos qualificados ...equipe de enfermeiros e tecnicos de pessimas qualidade, o hospital nao realizou os exames adequados para o diagnostico fechado do paciente ...hospital nao possui material adequado ... paciente ficou mais de 48h sem se alimentar um senhor de 73 anos ...deram diagnostico errado tratando uma patologia bacteriana sendo que o paciente estava com uma infeccao fungica",QUEIXA,95.96%
nao houve insatisfacao.,OUTROS,84.42%
eu estava com todos os papeis sofre fazer minha laqueadura e nao foi feito a minha laqueadura e a cirurgia ficou feia nao gostei sobre isso ....,QUEIXA,97.74%
"demora no atendimento na medicacao sem cadeiras para os enfermos sentarem , poucos profissionais e tambem muita dificuldade para agendar consulta muito tempo de espera",QUEIXA,97.9%
o pessoal da portaria. tenta por varias vezes barrar a entrada,OUTROS,82.95%
nao tenho interesse,OUTROS,82.79%
nao utizei,QUEIXA,97.42%
"falta de funcionarios, atraso no atendimento.",QUEIXA,96.89%
"fiquei quase 24 horas para ser levado para o quarto, demora pra ser levado a um quarto fiquei mais de 16 horas sentada na sala de medicacao",QUEIXA,98.28%
demora demais no atendimento,QUEIXA,97.19%
desculpe errei,ELOGIO,91.67%
"preenchi um questionario na chegada ao hospital 9 00 da manha passei o dia inteiro fazendo a preparacao do exame, as 17 00 desci para fazer o exame quando foram ler o questionario que preenchi de manha, ai fui informado que o anestesista nao iria fazer o procedimento. poderiam ter lido o questionario mais cedo e eu nao ficaria o dia inteiro la.agradecido.",QUEIXA,97.88%
